country,year,bronze,gold,silver,total
australia,1994,1,0,0,1
australia,1998,1,0,0,1
australia,2002,0,2,0,2
australia,2006,1,1,0,2
australia,2010,0,2,1,3
austria,1924,0,2,1,3
austria,1928,1,0,3,4
austria,1932,0,1,1,2
austria,1936,2,1,1,4
austria,1948,4,1,3,8
austria,1952,2,2,4,8
austria,1956,4,4,3,11
austria,1960,3,1,2,6
austria,1964,3,4,5,12
austria,1968,4,3,4,11
austria,1972,2,1,2,5
austria,1976,2,2,2,6
austria,1980,2,3,2,7
austria,1984,1,0,0,1
austria,1988,2,3,5,10
austria,1992,8,6,7,21
austria,1994,4,2,3,9
austria,1998,9,3,5,17
austria,2002,10,3,4,17
austria,2006,7,9,7,23
austria,2010,6,4,6,16
belarus,1994,0,0,2,2
belarus,1998,2,0,0,2
belarus,2002,1,0,0,1
belarus,2006,0,0,1,1
belarus,2010,1,1,1,3
belgium,1924,1,0,0,1
belgium,1928,1,0,0,1
belgium,1948,0,1,1,2
belgium,1998,1,0,0,1
bulgaria,1980,1,0,0,1
bulgaria,1998,0,1,0,1
bulgaria,2002,2,0,1,3
bulgaria,2006,0,0,1,1
canada,1920,0,1,0,1
canada,1924,0,1,0,1
canada,1928,0,1,0,1
canada,1932,5,1,1,7
canada,1936,0,0,1,1
canada,1948,1,2,0,3
canada,1952,1,1,0,2
canada,1956,2,0,1,3
canada,1960,1,2,1,4
canada,1964,1,1,1,3
canada,1968,1,1,1,3
canada,1972,0,0,1,1
canada,1976,1,1,1,3
canada,1980,1,0,1,2
canada,1984,1,2,1,4
canada,1988,3,0,2,5
canada,1992,2,2,3,7
canada,1994,4,3,6,13
canada,1998,4,6,5,15
canada,2002,7,7,3,17
canada,2006,7,7,10,24
canada,2010,5,14,7,26
china,1992,0,0,3,3
china,1994,2,0,1,3
china,1998,2,0,6,8
china,2002,4,2,2,8
china,2006,5,2,4,11
china,2010,4,5,2,11
croatia,2002,0,3,1,4
croatia,2006,0,1,2,3
croatia,2010,1,0,2,3
czech_republic,1998,1,1,1,3
czech_republic,2002,0,1,2,3
czech_republic,2006,1,1,2,4
czech_republic,2010,4,2,0,6
denmark,1998,0,0,1,1
estonia,2002,1,1,1,3
estonia,2006,0,3,0,3
estonia,2010,0,0,1,1
finland,1920,0,1,0,1
finland,1924,3,4,4,11
finland,1928,1,2,1,4
finland,1932,1,1,1,3
finland,1936,3,1,2,6
finland,1948,2,1,3,6
finland,1952,2,3,4,9
finland,1956,1,3,3,7
finland,1960,3,2,3,8
finland,1964,3,3,4,10
finland,1968,2,1,2,5
finland,1972,1,0,4,5
finland,1976,1,2,4,7
finland,1980,3,1,5,9
finland,1984,6,4,3,13
finland,1988,2,4,1,7
finland,1992,3,3,1,7
finland,1994,5,0,1,6
finland,1998,6,2,4,12
finland,2002,1,4,2,7
finland,2006,3,0,6,9
finland,2010,4,0,1,5
france,1924,3,0,0,3
france,1928,0,1,0,1
france,1932,0,1,0,1
france,1936,1,0,0,1
france,1948,2,2,1,5
france,1952,1,0,0,1
france,1960,2,1,0,3
france,1964,0,3,4,7
france,1968,2,4,3,9
france,1972,2,0,1,3
france,1976,1,0,0,1
france,1980,1,0,0,1
france,1984,2,0,1,3
france,1988,1,1,0,2
france,1992,1,3,5,9
france,1994,4,0,1,5
france,1998,5,2,1,8
france,2002,2,4,5,11
france,2006,4,3,2,9
france,2010,6,2,3,11
germany,1908,0,1,1,2
germany,1928,1,0,0,1
germany,1932,2,0,0,2
germany,1936,0,3,3,6
germany,1952,2,3,2,7
germany,1992,6,10,10,26
germany,1994,8,9,7,24
germany,1998,8,12,9,29
germany,2002,8,12,16,36
germany,2006,6,11,12,29
germany,2010,7,10,13,30
great_britain,1908,3,1,2,6
great_britain,1920,1,0,0,1
great_britain,1924,2,1,1,4
great_britain,1928,1,0,0,1
great_britain,1936,1,1,1,3
great_britain,1948,2,0,0,2
great_britain,1952,0,1,0,1
great_britain,1964,0,1,0,1
great_britain,1976,0,1,0,1
great_britain,1980,0,1,0,1
great_britain,1984,0,1,0,1
great_britain,1994,2,0,0,2
great_britain,1998,1,0,0,1
great_britain,2002,1,1,0,2
great_britain,2006,0,0,1,1
great_britain,2010,0,1,0,1
hungary,1932,1,0,0,1
hungary,1936,1,0,0,1
hungary,1948,0,0,1,1
hungary,1952,1,0,0,1
hungary,1956,1,0,0,1
hungary,1980,0,0,1,1
italy,1948,0,1,0,1
italy,1952,1,1,0,2
italy,1956,0,1,2,3
italy,1960,1,0,0,1
italy,1964,3,0,1,4
italy,1968,0,4,0,4
italy,1972,1,2,2,5
italy,1976,1,1,2,4
italy,1980,0,0,2,2
italy,1984,0,2,0,2
italy,1988,2,2,1,5
italy,1992,4,4,6,14
italy,1994,8,7,5,20
italy,1998,2,2,6,10
italy,2002,5,4,4,13
italy,2006,6,5,0,11
italy,2010,3,1,1,5
japan,1956,0,0,1,1
japan,1972,1,1,1,3
japan,1980,0,0,1,1
japan,1984,0,0,1,1
japan,1988,1,0,0,1
japan,1992,4,1,2,7
japan,1994,2,1,2,5
japan,1998,4,5,1,10
japan,2002,1,0,1,2
japan,2006,0,1,0,1
japan,2010,2,0,3,5
kazakhstan,1994,0,1,2,3
kazakhstan,1998,2,0,0,2
kazakhstan,2010,0,0,1,1
korea,1992,1,2,1,4
korea,1994,1,4,1,6
korea,1998,2,3,1,6
korea,2002,0,2,2,4
korea,2006,2,6,3,11
korea,2010,2,6,6,14
latvia,2006,1,0,0,1
latvia,2010,0,0,2,2
liechtenstein,1976,2,0,0,2
liechtenstein,1980,0,2,2,4
liechtenstein,1984,2,0,0,2
liechtenstein,1988,1,0,0,1
luxembourg,1992,0,0,2,2
netherlands,1952,0,0,3,3
netherlands,1960,1,0,1,2
netherlands,1964,0,1,1,2
netherlands,1968,3,3,3,9
netherlands,1972,2,4,3,9
netherlands,1976,3,1,2,6
netherlands,1980,1,1,2,4
netherlands,1988,2,3,2,7
netherlands,1992,2,1,1,4
netherlands,1994,3,0,1,4
netherlands,1998,2,5,4,11
netherlands,2002,0,3,5,8
netherlands,2006,4,3,2,9
netherlands,2010,3,4,1,8
new_zealand,1992,0,0,1,1
norway,1920,1,0,2,3
norway,1924,6,4,7,17
norway,1928,5,6,4,15
norway,1932,3,3,4,10
norway,1936,3,7,5,15
norway,1948,3,4,3,10
norway,1952,6,7,3,16
norway,1956,1,2,1,4
norway,1960,0,3,3,6
norway,1964,6,3,6,15
norway,1968,2,6,6,14
norway,1972,5,2,5,12
norway,1976,1,3,3,7
norway,1980,6,1,3,10
norway,1984,4,3,2,9
norway,1988,2,0,3,5
norway,1992,5,9,6,20
norway,1994,5,10,11,26
norway,1998,5,10,10,25
norway,2002,7,13,5,25
norway,2006,9,2,8,19
norway,2010,6,9,8,23
poland,1956,1,0,0,1
poland,1960,1,0,1,2
poland,1972,0,1,0,1
poland,2002,1,0,1,2
poland,2006,1,0,1,2
poland,2010,2,1,3,6
romania,1968,1,0,0,1
russian_fed,1994,4,11,8,23
russian_fed,1998,3,9,6,18
russian_fed,2002,4,5,4,13
russian_fed,2006,8,8,6,22
russian_fed,2010,7,3,5,15
slovakia,2006,0,0,1,1
slovakia,2010,1,1,1,3
slovenia,1994,3,0,0,3
slovenia,2002,1,0,0,1
slovenia,2010,1,0,2,3
spain,1972,0,1,0,1
spain,1992,1,0,0,1
sweden,1908,1,1,1,3
sweden,1920,0,2,1,3
sweden,1924,0,1,1,2
sweden,1928,1,2,2,5
sweden,1932,0,1,2,3
sweden,1936,3,2,2,7
sweden,1948,3,4,3,10
sweden,1952,4,0,0,4
sweden,1956,4,2,4,10
sweden,1960,2,3,2,7
sweden,1964,1,3,3,7
sweden,1968,3,3,2,8
sweden,1972,2,1,1,4
sweden,1976,2,0,0,2
sweden,1980,1,3,0,4
sweden,1984,2,4,2,8
sweden,1988,2,4,0,6
sweden,1992,3,1,0,4
sweden,1994,0,2,1,3
sweden,1998,1,0,2,3
sweden,2002,5,0,2,7
sweden,2006,5,7,2,14
sweden,2010,4,5,2,11
switzerland,1924,1,2,0,3
switzerland,1928,1,0,0,1
switzerland,1932,0,0,1,1
switzerland,1936,0,1,2,3
switzerland,1948,3,3,4,10
switzerland,1952,2,0,0,2
switzerland,1956,1,3,2,6
switzerland,1960,0,2,0,2
switzerland,1968,4,0,2,6
switzerland,1972,3,4,3,10
switzerland,1976,1,1,3,5
switzerland,1980,3,1,1,5
switzerland,1984,1,2,2,5
switzerland,1988,5,5,5,15
switzerland,1992,2,1,0,3
switzerland,1994,2,3,4,9
switzerland,1998,3,2,2,7
switzerland,2002,6,3,2,11
switzerland,2006,5,5,4,14
switzerland,2010,3,6,0,9
ukraine,1994,1,1,0,2
ukraine,1998,0,0,1,1
ukraine,2006,2,0,0,2
united_states,1920,1,0,1,2
united_states,1924,1,1,2,4
united_states,1928,2,2,2,6
united_states,1932,2,6,4,12
united_states,1936,3,1,0,4
united_states,1948,2,3,4,9
united_states,1952,1,4,6,11
united_states,1956,2,2,3,7
united_states,1960,3,3,4,10
united_states,1964,4,1,2,7
united_states,1968,1,1,5,7
united_states,1972,3,3,2,8
united_states,1976,4,3,3,10
united_states,1980,2,6,4,12
united_states,1984,0,4,4,8
united_states,1988,3,2,1,6
united_states,1992,2,5,4,11
united_states,1994,2,6,5,13
united_states,1998,4,6,3,13
united_states,2002,11,10,13,34
united_states,2006,7,9,9,25
united_states,2010,13,9,15,37
uzbekistan,1994,0,1,0,1
